,AMR,Capacity,HM,PLC,Site
359,33122,40.0,03:00:37,CC-C8-1E,PNB_TVL_OHSR_01
359,33122,40.0,03:00:37,CC-C8-1E,PNB_TVL_OHSR_01
359,33122,40.0,03:00:37,CC-C8-1E,PNB_TVL_OHSR_01
359,33122,40.0,03:00:37,CC-C8-1E,PNB_TVL_OHSR_01
359,33122,40.0,03:00:37,CC-C8-1E,PNB_TVL_OHSR_01
359,33122,40.0,03:00:37,CC-C8-1E,PNB_TVL_OHSR_01
359,33122,40.0,03:00:37,CC-C8-1E,PNB_TVL_OHSR_01
359,33122,40.0,03:00:37,CC-C8-1E,PNB_TVL_OHSR_01
359,33122,40.0,03:00:37,CC-C8-1E,PNB_TVL_OHSR_01
359,33122,40.0,03:00:37,CC-C8-1E,PNB_TVL_OHSR_01
359,33122,40.0,03:00:37,CC-C8-1E,PNB_TVL_OHSR_01
359,33122,40.0,03:00:37,CC-C8-1E,PNB_TVL_OHSR_01
359,33122,40.0,03:00:37,CC-C8-1E,PNB_TVL_OHSR_01
359,33122,40.0,03:00:37,CC-C8-1E,PNB_TVL_OHSR_01
359,33122,40.0,03:00:37,CC-C8-1E,PNB_TVL_OHSR_01
359,33122,40.0,03:00:37,CC-C8-1E,PNB_TVL_OHSR_01
359,33122,40.0,03:00:37,CC-C8-1E,PNB_TVL_OHSR_01
359,33122,40.0,03:00:37,CC-C8-1E,PNB_TVL_OHSR_01
359,33122,40.0,03:00:37,CC-C8-1E,PNB_TVL_OHSR_01
359,33122,40.0,03:00:37,CC-C8-1E,PNB_TVL_OHSR_01
476,33122,40.0,04:01:05,CC-C8-1E,PNB_TVL_OHSR_01
478,33122,40.0,04:02:08,CC-C8-1E,PNB_TVL_OHSR_01
480,33122,40.0,04:03:13,CC-C8-1E,PNB_TVL_OHSR_01
482,33122,40.0,04:04:17,CC-C8-1E,PNB_TVL_OHSR_01
484,33122,40.0,04:05:21,CC-C8-1E,PNB_TVL_OHSR_01
486,33122,40.0,04:06:25,CC-C8-1E,PNB_TVL_OHSR_01
488,33122,40.0,04:07:29,CC-C8-1E,PNB_TVL_OHSR_01
490,33122,40.0,04:08:33,CC-C8-1E,PNB_TVL_OHSR_01
492,33122,40.0,04:09:37,CC-C8-1E,PNB_TVL_OHSR_01
494,33122,40.0,04:10:41,CC-C8-1E,PNB_TVL_OHSR_01
496,33122,40.0,04:11:00,CC-C8-1E,PNB_TVL_OHSR_01
499,33122,40.0,04:12:47,CC-C8-1E,PNB_TVL_OHSR_01
500,33122,40.0,04:13:02,CC-C8-1E,PNB_TVL_OHSR_01
502,33122,40.0,04:14:06,CC-C8-1E,PNB_TVL_OHSR_01
